49.48,99.06,78.004,73.712,78.056,72.644,0,0 
81.864,95.048,81.164,67.384,80.688,75.972,0,0 
86.78,93.812,80.532,66.468,88.484,84.768,0,0 
70.228,84.036,83.508,78.212,75.552,80.64,0,0 
70.204,74.28,76.904,69.276,74.24,78.032,0,0 
64.344,95.956,75.492,69.928,64.164,64.228,0,0 
60.408,92.18,80.588,59.484,64.76,68.928,0,0 
69.76,113.24,86.16,69.316,66.44,66.288,0,0 
72.132,85.78,79.112,72.936,73.188,74.248,0,0 
81.192,84.268,75.704,77.04,73.312,65.624,0,0 
60.688,105,80.528,62.552,66.5,78.256,0,0 
66.952,83.352,80.344,75.28,77.6,87.892,0,0 
62.356,106.148,74.416,63.956,71.488,79.792,0,0 
70.952,121.496,98.024,75.056,74.868,80.288,0,0 
93.58,109.152,105.216,88.784,79.828,66.64,0,0 
83.832,91.528,92.516,79.004,79.468,75.148,0,0 
59.728,77.34,68.22,59.68,58.672,68.696,0,0 
65.132,114.092,87.276,67.176,67.316,69.46,0,0 
61.656,78.664,67.316,60.64,72.684,83.288,0,0 
66.972,90.796,71.196,66.492,68.384,64.768,0,0 
58.928,77.972,72.892,63.824,61.596,64.24,0,0 
60.884,81.476,76.26,64.856,58.152,55.62,0,0 
69.976,90.184,70.268,64.068,70.216,70.372,0,0 
68.568,76.892,69.08,63.652,61.584,54.848,3,0 
60.36,88.708,78.956,60.724,54.116,47.7,3,0 
58.044,69.46,69.24,62.392,64.692,70.668,0,0 
47.644,72.884,70.296,55.248,56.508,65,0,0 
51.116,85.596,73.212,59.064,64.3,76.472,0,0 
73.392,82.744,66.656,63.616,72.812,69.832,0,0 
65.624,77.852,67.712,62.952,73.98,80.428,0,0 
68.232,78.276,80.132,71.224,68.652,69.032,0,0 
53.956,71.02,74.116,60.32,59.136,64.072,0,0 
55.388,74.748,70.748,57.408,56.504,57.724,0,0 
54.796,73.644,75.092,70.968,55.852,56.832,0,0 
81.976,78.876,81.976,76.512,74.604,67.544,0,0 
66.4,76.204,69.748,68.08,73.508,80.256,0,0 
65.004,74.724,73.364,75.716,64.472,64.112,0,0 
53.764,69.704,66.536,58.088,61.46,68.888,0,0 
62.204,66.596,72.256,63.808,64.176,67.864,0,0 
61.624,73.46,72.824,62.112,73.572,85.072,0,0 
70.936,80.312,84.424,77.88,73.752,76.496,0,0 
56.832,73.552,63.724,59.32,57.168,57.58,0,0 
57.772,74.364,69.54,57.22,68.004,77.824,0,0 
57.748,74.74,68.392,61.164,62.16,63.556,0,0 
73.572,84.476,86.336,71.42,75.532,73.516,0,0 
63.304,72.844,68.612,64.212,62.852,62.36,0,0 
54.508,80.584,83.216,64.028,61.228,67.28,0,0 
62.424,64.612,69.324,61.796,61.952,61.512,0,0 
56.064,71.516,75.872,61.088,62.208,68.156,0,0 
